año,provincia,ha_total,ha_bosque_nativo,fuente
2003,Jujuy,259,20,bqd_bninc_ha_año_2023
2003,La Pampa,853921,418363,bqd_bninc_ha_año_2023
2003,La Rioja,125968,99233,bqd_bninc_ha_año_2023
2003,Mendoza,612387,115423,bqd_bninc_ha_año_2023
2003,Misiones,4381,5,bqd_bninc_ha_año_2023
2003,Neuquén,17908,111,bqd_bninc_ha_año_2023
2003,Río Negro,448244,48350,bqd_bninc_ha_año_2023
2003,Salta,54857,10660,bqd_bninc_ha_año_2023
2003,San Juan,2659,,bqd_bninc_ha_año_2023
2003,San Luis,217720,217720,bqd_bninc_ha_año_2023
2003,Santa Cruz,15494,10145,bqd_bninc_ha_año_2023
2003,Santa Fe,4421,1256,bqd_bninc_ha_año_2023
2003,Santiago del Estero,3474,1933,bqd_bninc_ha_año_2023
2003,Tierra del Fuego,0,0,bqd_bninc_ha_año_2023
2003,Tucumán,3563,351,bqd_bninc_ha_año_2023
2004,Buenos Aires,23706,1538,bqd_bninc_ha_año_2023
2004,Catamarca,2175,1,bqd_bninc_ha_año_2023
2004,Chaco,5257,428,bqd_bninc_ha_año_2023
2004,Chubut,2459,637,bqd_bninc_ha_año_2023
2004,Ciudad Autónoma de Buenos Aires,45,0,bqd_bninc_ha_año_2023
2004,Corrientes,5159,,bqd_bninc_ha_año_2023
2004,Córdoba,11473,4600,bqd_bninc_ha_año_2023
2004,Entre Ríos,4133,635,bqd_bninc_ha_año_2023
2004,Formosa,2095,,bqd_bninc_ha_año_2023
2004,Jujuy,9796,1171,bqd_bninc_ha_año_2023
2004,La Pampa,239678,17875,bqd_bninc_ha_año_2023
2004,La Rioja,18231,9400,bqd_bninc_ha_año_2023
2004,Mendoza,59759,15766,bqd_bninc_ha_año_2023
2004,Misiones,2417,15,bqd_bninc_ha_año_2023
2004,Neuquén,25380,422,bqd_bninc_ha_año_2023
2004,Río Negro,40425,6288,bqd_bninc_ha_año_2023
2004,Salta,64675,11363,bqd_bninc_ha_año_2023
2004,San Juan,856,,bqd_bninc_ha_año_2023
2004,Santa Cruz,6451,142,bqd_bninc_ha_año_2023
2004,Santa Fe,27430,1378,bqd_bninc_ha_año_2023
2004,Santiago del Estero,7180,4300,bqd_bninc_ha_año_2023
2004,Tierra del Fuego,26,21,bqd_bninc_ha_año_2023
2004,Tucumán,968,104,bqd_bninc_ha_año_2023
2005,Buenos Aires,39799,4171,bqd_bninc_ha_año_2023
2005,Catamarca,31058,,bqd_bninc_ha_año_2023
2005,Chaco,5143,335,bqd_bninc_ha_año_2023
2005,Chubut,5392,999,bqd_bninc_ha_año_2023
2005,Ciudad Autónoma de Buenos Aires,28,,bqd_bninc_ha_año_2023
2005,Corrientes,56595,,bqd_bninc_ha_año_2023
2005,Córdoba,16910,3866,bqd_bninc_ha_año_2023
2005,Entre Ríos,2714,146,bqd_bninc_ha_año_2023
2005,Formosa,7943,,bqd_bninc_ha_año_2023
2005,Jujuy,3655,850,bqd_bninc_ha_año_2023
2005,La Pampa,313526,58290,bqd_bninc_ha_año_2023
2005,La Rioja,680,639,bqd_bninc_ha_año_2023
2005,Mendoza,64986,6361,bqd_bninc_ha_año_2023
2005,Misiones,8966,1527,bqd_bninc_ha_año_2023
2005,Neuquén,22962,214,bqd_bninc_ha_año_2023
2005,Río Negro,303279,92277,bqd_bninc_ha_año_2023
2005,Salta,61778,10876,bqd_bninc_ha_año_2023
2005,San Juan,996,,bqd_bninc_ha_año_2023
2005,San Luis,22562,22314,bqd_bninc_ha_año_2023
2005,Santa Cruz,9398,57,bqd_bninc_ha_año_2023
2005,Santa Fe,1911,15,bqd_bninc_ha_año_2023
2005,Santiago del Estero,8000,3300,bqd_bninc_ha_año_2023
2005,Tierra del Fuego,17,9,bqd_bninc_ha_año_2023
2005,Tucumán,2951,,bqd_bninc_ha_año_2023
2006,Buenos Aires,168086,649,bqd_bninc_ha_año_2023
2006,Catamarca,4856,1,bqd_bninc_ha_año_2023
2006,Chaco,37606,15944,bqd_bninc_ha_año_2023
2006,Chubut,331,75,bqd_bninc_ha_año_2023
2006,Corrientes,7370,,bqd_bninc_ha_año_2023
2006,Córdoba,61769,23498,bqd_bninc_ha_año_2023
2006,Entre Ríos,4805,345,bqd_bninc_ha_año_2023
2006,Formosa,1691,,bqd_bninc_ha_año_2023
2006,Jujuy,5875,31,bqd_bninc_ha_año_2023
2006,La Pampa,137390,34170,bqd_bninc_ha_año_2023
2006,La Rioja,7678,7500,bqd_bninc_ha_año_2023
2006,Mendoza,60500,4906,bqd_bninc_ha_año_2023
2006,Misiones,2956,24,bqd_bninc_ha_año_2023
2006,Neuquén,7665,600,bqd_bninc_ha_año_2023
2006,Río Negro,141791,14222,bqd_bninc_ha_año_2023
2006,Salta,41163,8060,bqd_bninc_ha_año_2023
2006,San Juan,656,,bqd_bninc_ha_año_2023
2006,San Luis,20832,8440,bqd_bninc_ha_año_2023
2006,Santa Cruz,3126,2,bqd_bninc_ha_año_2023
2006,Santa Fe,3047,100,bqd_bninc_ha_año_2023
2006,Santiago del Estero,15000,12300,bqd_bninc_ha_año_2023
2006,Tierra del Fuego,1,0,bqd_bninc_ha_año_2023
2006,Tucumán,2147,,bqd_bninc_ha_año_2023
2007,Buenos Aires,19106,1392,bqd_bninc_ha_año_2023
2007,Catamarca,24755,,bqd_bninc_ha_año_2023
2007,Chaco,26213,3559,bqd_bninc_ha_año_2023
2007,Chubut,756,47,bqd_bninc_ha_año_2023
2007,Ciudad Autónoma de Buenos Aires,8,,bqd_bninc_ha_año_2023
2007,Corrientes,569,25,bqd_bninc_ha_año_2023
2007,Córdoba,11369,4371,bqd_bninc_ha_año_2023
2007,Entre Ríos,549,80,bqd_bninc_ha_año_2023
2007,Formosa,3056,16,bqd_bninc_ha_año_2023
2007,Jujuy,1498,39,bqd_bninc_ha_año_2023
2007,La Pampa,22255,7156,bqd_bninc_ha_año_2023
2007,La Rioja,200,19,bqd_bninc_ha_año_2023
2007,Mendoza,16167,1672,bqd_bninc_ha_año_2023
2007,Misiones,296,,bqd_bninc_ha_año_2023
2007,Neuquén,1154,29,bqd_bninc_ha_año_2023
2007,Río Negro,43545,25,bqd_bninc_ha_año_2023
2007,Salta,36809,6993,bqd_bninc_ha_año_2023
2007,San Juan,1346,,bqd_bninc_ha_año_2023
2007,San Luis,25660,4884,bqd_bninc_ha_año_2023
2007,Santa Cruz,9024,2,bqd_bninc_ha_año_2023
2007,Santa Fe,2794,98,bqd_bninc_ha_año_2023
2007,Santiago del Estero,4545,,bqd_bninc_ha_año_2023
2007,Tierra del Fuego,16,2,bqd_bninc_ha_año_2023
2007,Tucumán,862,40,bqd_bninc_ha_año_2023
