mes,año,provincia,n_incendios,ha_total,ha_bosque_nativo,ha_bosque_cultivado,ha_arbustal,ha_pastizal,ha_sin_determinar,causas_negligencia,causas_intencional,causas_natural,causas_desconocida,fuente
Marzo,2024,Entre Ríos,0,50,,,,50,,,,,,anuario_2024
Marzo,2024,Formosa,107,1315,28,,,1287,,,4,102,1,anuario_2024
Marzo,2024,Jujuy,1,0,,,,0,,,1,,,anuario_2024
Marzo,2024,La Pampa,,,,,,,,,,,,anuario_2024
Marzo,2024,La Rioja,,,,,,,,,,,,anuario_2024
Marzo,2024,Mendoza,5,246,0,,55,192,,2,1,,2,anuario_2024
Marzo,2024,Misiones,1,1,,,,1,,,,,1,anuario_2024
Marzo,2024,Neuquén,,,,,,,,,,,,anuario_2024
Marzo,2024,Parques Nacionales,7,14517,1,,1,14515,0,2,1,,4,anuario_2024
Marzo,2024,Río Negro,38,1297,642,0,322,331,3,6,2,,30,anuario_2024
Marzo,2024,Salta,,,,,,,,,,,,anuario_2024
Marzo,2024,San Juan,63,30,,,0,30,,5,58,,,anuario_2024
Marzo,2024,San Luis,8,4316,411,,,3905,,,,,8,anuario_2024
Marzo,2024,Santa Cruz,,,,,,,,,,,,anuario_2024
Marzo,2024,Santa Fe,,,,,,,,,,,,anuario_2024
Marzo,2024,Santiago del Estero,,,,,,,,,,,,anuario_2024
Marzo,2024,Tierra del Fuego,,,,,,,,,,,,anuario_2024
Marzo,2024,Total,258,23012,1082,0,678,21249,3,19,74,102,63,anuario_2024
Marzo,2024,Tucumán,,,,,,,,,,,,anuario_2024
Abril,2024,Buenos Aires,,,,,,,,,,,,anuario_2024
Abril,2024,Catamarca,8,1811,2,0,2,1807,,1,1,,6,anuario_2024
Abril,2024,Chaco,2,152,,,50,102,,,,,2,anuario_2024
Abril,2024,Chubut,2,0,,0,,0,,2,,,,anuario_2024
Abril,2024,Ciudad Autónoma de Buenos Aires,,,,,,,,,,,,anuario_2024
Abril,2024,Corrientes,,,,,,,,,,,,anuario_2024
Abril,2024,Córdoba,13,299,,,,299,,,5,,8,anuario_2024
